,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,ClotildeMydyla,"Catho patte d'éph. Stop homophobie. Pour la créolisation de l'universalité.
Ou Droitsdelhommiste, islamo-écolo, remplaço-traîtresse, woke...
90sBitch #TeamJesus",MASSY,4750,1407,111542,56,"Kanye West est problématique depuis bientôt 4 ans. Talent ou pas, rien ne justifiait ses délires trumpistes, négationnistes, racistes (même pas sa bipolarité). Il aurait dû être banni il y a longtemps. Ses délires antisémites sont la suite logique des choses.",[],2013-01-11 15:38:52+00:00,1080066680,1585275373562073088
1,QuintessaLover,,"Massachusetts, USA",660,34,5338,493,"Are y’all going to pretend you still don’t see the disparity when Howard Stern can wear blackface, call Black people n*ggers, and spew anti-Black rhetoric for 40 years and never get canceled, but Kanye gets canceled within a few days for offending the Jewish community?",[],2011-08-06 02:57:00+00:00,349433503,1585275372320473088
2,ariobn,"A man is nothing more than what others claim he is, so speak clear and ill of me and so it will be. rodywalker",Indonesia,529,438,38950,289,"Adidas cut ties with Kanye West over his antisemitic remarks.

That's great news.  

Now, @Adidas should cut off ties with Chinese companies in their supply chain that enslave Uyghur Muslims and capitalize on Genocide.",[],2009-08-29 03:28:14+00:00,69776669,1585275367748644865
3,essosajoy,your new favourite pop/RnB girlie🕺🏿,,154,110,4098,2400,A lot Black folks were scrambling to defend Kanye’s “slavery was a choice” statement. Even Black celebrities. My memory is very good. I remember! So let’s not… 🙃🙃🙃,[],2019-06-07 21:34:24+00:00,1137110585311727616,1585275367258001411
4,Nwabe2,God loving and fearing person😗😗,,5084,4638,208395,556,"Adidas, Balenciaga, etc literally watched as Kanye made a mockery of black people and their sufferings but they drew a line somewhere. Yet a lot of people seem to be overlooking where the line was drew",[],2018-04-09 09:52:24+00:00,983281466493820928,1585275366343581699
5,GhertFryins,some of you people here needs help bruh,"Somewhere, DN",255,40,7108,4,@RatioedBy808s Kanye West has been permanently banned from settings 😳⁉️ https://t.co/Fcpk3yokwN,[],2022-06-13 20:05:40+00:00,1536439521725644800,1585275365953454080
6,zara11531682,,,1,5,850,1,What do folks get out of defending Kanye? You are not Kanye and will never be Kanye. Kanye also clearly doesn’t fuck with black folks &amp; black empowerment so why the capes? Savannah nigs so disappointing,[],2022-10-09 11:28:44+00:00,1579071298382315520,1585275365756264455
7,Tun3chiTunechi,Snapchat lillieforlife ig: Yungtun3chi,"West Chicago, IL",504,178,115,583,"Jews are now gathering to make Kanye
West diss tracks😤🔥 https://t.co/oSm3ygsJga",[],2017-02-15 13:32:48+00:00,831858800747544577,1585275365626355713
8,DocFranchise,"Loves: God-Family-Friends-Country-World
PLEASE FOLLOW ME! FOLLOWS BACK MORAL & FISCAL CONSERVATIVES. Never asked before but I'm a clever & articulate voice!",Arizonan,1494,1487,44961,282,Kanye West Says Planned Parenthood Was Founded to “Kill the Black Race” https://t.co/9TQbP7VKld https://t.co/rz5wJIfQyh,[],2009-08-15 04:45:55+00:00,65828041,1585275365097844737
9,courtnie1999,,"Illinois, USA",3099,1413,19441,621,"They forced you to inject an unproven substance into your body and lied to your face about what it did so you could keep your job.

But you’re STILL only outraged over Trump and Kanye.",[],2009-01-09 20:39:02+00:00,18814441,1585275363575439360
