,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,evanwr2,"Student of reality;
Rarely sarcastic;
Trying to only speak when it's better than silence","Hays, KS",104,51,1291,35,"You need to be making some form of daily progress:

- Going to the gym
- Practicing an instrument
- Learning chess
- Studying a language...

A directionless life is the most depressing, miserable existence.

Take a step forward in something every single day and see how you feel.",[],2017-05-19 23:42:02+00:00,865714191822462976,1582472775280623616
1,HunterWhiz,Twitch Chess Streamer & Content Creator | https://t.co/0j6chvsqcn | Inquiries: WhisenantEnterprises@gmail.com,Florida,990,1429,46968,0,TFW: They blunder Queen in one move and you don’t see it #chess #blunder https://t.co/nTY9WVKjMa,"['chess', 'blunder']",2013-07-04 05:32:01+00:00,1567416212,1582472765747376128
2,RPCMKolgro,"NFTs, gaming and fitness. I promise you I am never serious, I'm serious. Mod/marketing @illogics",Canada,588,634,31387,2,"“the rookie” (see what I did there?)

#Blender #3dmodeling #art #chess https://t.co/bMuJ2I2442","['Blender', '3dmodeling', 'art', 'chess']",2012-06-19 00:59:24+00:00,612150691,1582472747531505664
3,thvhny,⁮ ⁮ ⁯⁪⁫ ⁬⁯⁪ ⁫ ⁬ ૮꒰˵• ﻌ •˵꒱ა ⁮ pretty boys♡ ⁮ ⁮ ⁮ ⁮ ⁯⁪⁫ ⁬⁯⁪ ⁫ ⁬ ⁯⁪⁫ ⁬⁯⁪ ⁫ ⁬ ⁮ ⁮ ⁯⁪⁫ ⁬⁯⁪ ⁫ ⁬ ⁮ ⁮ ⁯⁪⁫ ⁬⁯⁪ ⁫ ⁬ ⁮ ⁮ ⁯⁪⁫ ⁬⁯⁪ ⁫ ⁬ ⁮ ⁮ ⁯⁪⁫ ⁬⁯⁪ ⁫,୨୧  hetheyitbun  ୨୧,242,17,11872,252,@bicketss You ok hun? You’ve barely touched your taxidermied mice chess set.,[],2022-01-21 14:40:08+00:00,1484536262082052096,1582472716539793408
4,delendaNSFW,"19 | nsfw | Virgo sun, Sagittarius moon&rising | pansexual | just trying to make some money while in college lmao
Cashapp: $kmarie1789",,74,106,326,12697,this is a chess set i just found on Etsy where all of the pieces are real taxidermied mice. try to guess how much it costs and check the reply https://t.co/vCehRMoY1m,[],2020-12-05 16:30:48+00:00,1335260248454688768,1582472709484982272
5,mirotic_chess,"i write and draw (kinda) ❁ 💧🔶, 🧪🪙 (🔁 ok for both) ❁ they/them ❁ fatui stan",haeresys,64,100,3400,21,"Poor girl Sohreh ,I feel you

#dottore https://t.co/DQaApEJZ7v",['dottore'],2020-05-06 23:20:27+00:00,1258174786401906689,1582472702132002816
6,Koincidence_J,"Vegan, 30, half-mexican, agnostic, aromantic, srpg gamer, straight, feminist ally, LGB Ally. I like Rap and Metal mostly. Ghostwriter who uses pseudonyms 🥷.",,344,78,5871,0,"@nicp100681 @Xx17965797N That's the point, according to conspiracy theorists. It's a narcissistic double bind, you're fucked if you do and fucked if you don't. They look for control points that you can't easily escape from like a chess move.",[],2022-06-18 20:50:30+00:00,1538262822013968384,1582472691189133312
7,twesq,"Roll Tide, Who Dat. Just trying to be an ally. I drove Talladega. Donate money to your local food bank.","Birmingham, AL",2403,1975,100696,0,Man I dunno nun about deflated footballs or Saban playing 4d chess but I can promise you we’ve wanted to fire BoB and the frat boy for far longer than just this week. https://t.co/EKZGaU5cDu,[],2009-03-11 08:55:24+00:00,23739434,1582472663922278400
8,AlexaMares14,"“He wears a mask and his face grows to fit it""
 George Orwell","Sydney, New South Wales",550,733,710,290,"UK IN TURMOIL. MADNESS INTO OVERDRIVE. 4 chancellors in 4 months, 3 PM’s by year end. They detest each and every one of us, no exception. Policies that crush and destroy, not aid assist. THE CHESS BOARD NEEDS TO BE OVERTURNED COMPLETELY. WE SAY GAME OVER. https://t.co/pJc9OdP8EU",[],2021-03-06 09:55:34+00:00,1368137908578779139,1582472661782798336
9,ros10719885,Feminist,,67,124,1600,36,🇨🇦Won’t the flag-waving Freedom Convoeurs be surprised when they learn that they’re mere Pawns in harper’s psycho chess game - costing Canadians billions - again. These Pawns are the text book result of rage-farming/faux-outrage. We’ve all been had. 🇨🇦PP will never be PM.🇨🇦 https://t.co/OgTpZoG6rd,[],2022-02-22 18:24:09+00:00,1496188822618624000,1582472647824183296
