,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,SHIELDZephyrOne,#AgentsofSHIELD #Stargate #TeenWolf #TheWinchesters #Wednesday #Andor #SecretInvasion #HouseoftheDragon #Chucky #VampireAcademy #WolfPack #TheLastofUs #DuyBeni,Location: Classified,4989,691,184678,0,#HOUSEOFTHEDRAGON Reveals the Real Reason the Dragons Died Off – Aegon’s Prophecy Connection by @screencrushnews #GameofThrones #HBO #HBOMax https://t.co/vvGSmP8x15,"['HOUSEOFTHEDRAGON', 'GameofThrones', 'HBO', 'HBOMax']",2015-04-04 18:20:18+00:00,3134622627,1583457362190688261
1,Juanmql0,Estudiante de psicología,,663,1729,23342,378,"thinking about Emma D'Arcy narrating the intro of #HouseoftheDragon with their velvety voice
https://t.co/lXhJWZc3y2",['HouseoftheDragon'],2020-01-26 23:23:56+00:00,1221574494755655680,1583457362144538624
2,kady_mariam,"‏‏‏‏🤍🤍اللهمّ لا تحرمني وأنا أدعوك، ولا تخيّبني وأنا أرجوك🤍🤍
الحساب الرئيسي : ‎‎‎‎@QueenMa02793059",,736,200,52821,326,"Google Emma D’Arcy and Olivia Cooke and watch what happens… 

A Negroni… Spagliato… with Prosecco in it! 😂 #HouseOfTheDragon https://t.co/P0waHozmk6",['HouseOfTheDragon'],2019-08-14 23:21:42+00:00,1161779961499402241,1583457359094984704
3,m4rtins_dd,"há um universo no verso
♑
infp","Aracaju, Brasil",568,599,76430,2753,#HouseOfTheDragon é um live action de Shrek e eu posso provar https://t.co/DkNVw8kHyN,['HouseOfTheDragon'],2015-05-02 12:30:18+00:00,3228220929,1583457358776500224
4,qwesispacely_,Faith over fear 💆🏾‍♂️!!!! @realmadrid🤍,Worldwide🤝🌏,4887,3536,33268,1001,The Way He Looks at her 😭#HouseOfTheDragon https://t.co/5C3vFaK5r4,['HouseOfTheDragon'],2020-08-02 13:16:59+00:00,1289913007737384960,1583457350249504768
5,bugsypac,https://t.co/0f8B9ciagE #CRO #LINK #ATOM #KDA #GRT,France,541,109,2355,54,"Pour sa première saison #HouseoftheDragon nous a déjà offert de nombreuses entrées en scène légendaires, laquelle est votre préférée ? https://t.co/8R0P5DdrXI",['HouseoftheDragon'],2019-06-28 10:51:12+00:00,1144558860872667138,1583457342037061633
6,milovns,Always anti-fascist and sometimes anti-social,BRAZIL (BRASÍLIA),1643,846,29199,165,"""A negroni… sbagliato… with prosecco in it""

Se você pesquisar ""Emma D'Arcy' e ""Olivia Cooke"" no Google, aparece essa animação. 🤣❤️
#HouseOftheDragon https://t.co/5i7KjLpJwf",[],2009-07-07 17:14:36+00:00,54612225,1583457333069287424
7,Daisy36151076,,,119,81,13880,325,"Eu SEI que você também ficaram chocados! Qual foi a sua reação nesse momento? Me conta! (inclusive pode contar que você gritou Dracarys, vai...) 👇🔥 #ACasaDoDragão #HouseoftheDragon https://t.co/2Sd8Id3uJt",[],2020-10-04 14:36:23+00:00,1312763315052056584,1583457331592904705
8,stayeah86,"🐳 mark,Jaemin,Jeno ☔️DREAM",,441,317,249077,205,"Favorite family 🖤

#HouseoftheDragon https://t.co/cboD6F5QMO",['HouseoftheDragon'],2010-10-03 12:13:46+00:00,198121266,1583457326597427203
9,gema_aaaa,,Aquí ,268,506,42585,2250,El live action de Shrek pinta muy bien. #HouseOfTheDragon https://t.co/HzZ01T8nPI,['HouseOfTheDragon'],2015-01-09 21:54:07+00:00,2970475127,1583457320477958144
10,noaht23,,,854,324,9364,3849,Shrek walked so #HouseOfTheDragon could run https://t.co/INyRh2NdRW,['HouseOfTheDragon'],2014-01-06 17:40:48+00:00,2279392561,1583457311125024768
