,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,jdsmith_08,Opinions are my own. John 15:13,Houston,653,258,135363,2,"I just caught up with House of the Dragon. Great first season. Reminds me a lot of early Game of Thrones. 

Daemon Targaryen is already one of the best Thrones characters in the franchise. 

Aemond is the new Ramsay.

9.5/10.",[],2010-09-13 04:58:15+00:00,190141122,1586406900995747841
1,Yourgracemartel,"AQUI HATER DO XUXI NÃO TEM VEZ, METE O PÉ DO MEU PERFIL E VAI TOMAR NO CU!! 

fan account    #24",na merda rj ot23,730,366,133646,430,vazou o aemond se explicando pra alicent q iniciou uma guerra sem querer https://t.co/r63deogxoM,[],2016-12-26 06:06:23+00:00,813264678021304320,1586406861997080577
2,gabsiq,Comedora de pipoca,Brasil,494,549,155580,430,vazou o aemond se explicando pra alicent q iniciou uma guerra sem querer https://t.co/r63deogxoM,[],2009-05-31 22:30:07+00:00,43769708,1586406851520102400
3,Bardiiidwt,#TeamAemond,she/her/19,78,12,205,14,"team black dancing around the fact that they enjoy Aemond and find him more interesting than the 3 strong boys combined by making jokes that they ""want to take him from the greens"" and reading aemond x self insert fics",[],2021-11-16 19:07:36+00:00,1460685688106590208,1586406825666449408
4,_DEVlANT_,"⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀ ⠀
—  @x_KlNSLAYER_x ♥︎ | @FearlessAemond ♥︎ |  @VHAGARISM ♥︎ —",Beware - TRIGGERING THEMES,393,415,4992,0,"Did he really want to talk about it? 

No. Not really.

Aegon stayed quiet, wincing at each poke of the needle. Until it was half way done, he didn't speak.

❝ Something with Aemond.. ❞

He didn't lie that time. https://t.co/HwqVYRofKM",[],2022-09-30 04:06:43+00:00,1575698591502323714,1586406769852833793
5,burackbobby_,"Covering politics, culture, media, and sports @OutKick.","Michigan, USA",937,22797,16931,2,"I just caught up with House of the Dragon. Great first season. Reminds me a lot of early Game of Thrones. 

Daemon Targaryen is already one of the best Thrones characters in the franchise. 

Aemond is the new Ramsay.

9.5/10.",[],2013-03-29 00:07:18+00:00,1312071102,1586406728526360576
6,iagomsmviu,"professor, mestre, procrastinador, viciado em reacts musicais.","Brasília, Brasil",751,843,18465,430,vazou o aemond se explicando pra alicent q iniciou uma guerra sem querer https://t.co/r63deogxoM,[],2014-12-13 21:30:01+00:00,2920357841,1586406722318766080
7,evelynswft,#EVELYNHUGO: Celia St. James is going to ruin everything | the last great american dynasty ~ ts,uruwhy | she/her,5484,5171,217996,369,"will never get over aemond doing this when lucerys walks in
https://t.co/jMe66m4uLZ",[],2010-07-04 04:55:25+00:00,162607491,1586406619813793792
8,vhsdamiano,austin butler's side piece,"she/her, nineteen",990,888,10739,369,"will never get over aemond doing this when lucerys walks in
https://t.co/jMe66m4uLZ",[],2017-09-28 07:30:51+00:00,913304986355937280,1586406599098146816
9,BushPetey,"terry silver, hawk moskowitz, sam larusso stan
ralph macchio & jacob bertrand ♥
anti kyler, tory and kenny
Mia Goth enthusiast !!
- you're the heart",,24,35,322,0,@purpIehawk aemond is so pretty,[],2022-10-22 11:39:25+00:00,1583784974221811713,1586406550016782336
