,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,fallin41723moo,"省吃儉用養媽木的苦命研究生🏳️‍🌈｜2016.08入坑 2020.11回坑 | SWFS🐰🐹🐶🦁마마무 놓지않을게/최애 이효리/TVXQ+JYJ/Jessi/Apink/SPICA/Brown Eyed Girls/主Mamamoo,偶爾其他",,453,59,19810,80,wheein's hat reminds me of one of the cats i drew in my letter for her🥹 https://t.co/XoLXxDNLGj,[],2020-11-15 15:00:18+00:00,1327989753568923650,1584171508565307392
1,4Anjell,| A temporary person in this temporary world | ✨✨💞💞,"Dubai, United Arab Emirates",132,192,18017,2534,Why is male loneliness and inability to get laid a societal issue but “no one will want you when you’re 30 and valueless” and “you’ll die miserable and alone with your cats” has for eons been used as a weapon to scaremonger women and was always treated as a moral failing?,[],2011-07-20 10:40:53+00:00,338951069,1584171506153967616
2,HijackedKatTris,"𝓘 𝓾𝔀𝓾 𝓽𝓱𝓮𝓷 𝓘 𝓸𝔀𝓸 🌸
02.04.20 🌸","Texas, USA",276,78,4655,3743,THIS IS NOT CUTE!!!!!!! cats only turn this color when they're about to explode and leave nothing but a pair of smoking shoes https://t.co/T72GBWrqms,[],2014-07-12 20:53:48+00:00,2630624431,1584171505596125184
3,AdjutantDenise,,,17,3,53,0,@NPR @gtconway3d Thus proving Cats Rule!,[],2022-03-24 00:12:30+00:00,1506785928781733892,1584171502769172481
4,hanjanhajago,달달 볶고 자상함을 곁들 人.,,665,794,5417,254,"im going to fly

#cats | #CatsofTwitter https://t.co/MMYhzze3iq","['cats', 'CatsofTwitter']",2012-08-03 06:54:30+00:00,734342358,1584171500973981699
5,RoyceRo16349435,Di you get y eil,Duley,49,12,120,18837,"Cats Lab Alpha x Homa Games

2x Whitelist Spots Giveaway

To Enter:
1. Like and Retweet
2. Follow @CatsLabAlpha and @HomaGames
3. Tag 2 Friends 

Ends in 24hrs

#NFTGiveaway #NFTCommunity https://t.co/udeh149zml",[],2022-08-31 12:03:22+00:00,1564946924226379780,1584171493839151105
6,limone_cats,美味しいものを食べる🍔呑む🍺旅行✈️猫🐈‍⬛🐈コスメ💄美しいものを観る🎇が大好きな会社員です👜毎日コツコツと懸賞応募に励んでいます💝目標は掃除機と一眼レフとキッチン家電と旅行を当てる事です😊🌹よろしくお願いします✨ #当選 #当選報告 #limone当選 #懸賞 #懸賞好きさんと繋がりたい,日本 東京,4963,2521,54939,3994,"／
#ハロウィン キャンペーン🎃
＼

ハロウィン仮装👻🦇🧙‍♀️
料理🎃などがきれいに撮れる✨
クリップ式リングライトを抽選で5名様にプレゼント🎁

1⃣@sanwainfo をフォロー
2⃣この投稿をRT
〆切：10/24
当選発表：後日DMにて📩

ご応募お待ちしてます

#サンワハロウィン2022
#キャンペーン #プレゼント",['ハロウィン'],2018-01-01 09:18:25+00:00,947758902023561216,1584171493558087682
7,Palomar_qfwfq,"Telescope that can point itself and think about what it sees.

@Palomar_qfwfq@mastodon.social",Going up & down stone steps,211,187,12169,0,"@mathonwy But does it have random cats living inside? 🤷🏻‍♀️
Though the Aubuchon Hardware in my town actually *does* have a resident cat who ‘just appeared’ 😄",[],2016-08-09 03:41:13+00:00,762856229525872640,1584171490093985793
8,BassMemphis,You re quite crele bout yourelf,Territoire e Belfort,46,12,121,18837,"Cats Lab Alpha x Homa Games

2x Whitelist Spots Giveaway

To Enter:
1. Like and Retweet
2. Follow @CatsLabAlpha and @HomaGames
3. Tag 2 Friends 

Ends in 24hrs

#NFTGiveaway #NFTCommunity https://t.co/udeh149zml",[],2022-09-01 21:47:19+00:00,1565456267983745025,1584171487728046080
9,alexp_dj,"Former - DJ, Copy Writer & Imagineer // Current - Real Estate Project Manager #sunandskylover #catslover",,486,928,44018,2794,"drawing fluffy cats

✍🏻 石青畫猫 https://t.co/YnzVesMdiV",[],2009-08-02 02:43:58+00:00,62178507,1584171485442154499
