,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,yosoypao,Political Scientist & Lecturer @pucp | MA in Education Policies @globedmasters | feminist | music lover & festival goer | Peruvian | Opinions are my own,"Lima, Peru",1386,2558,102473,3086,Daemon Targaryen when it’s time to do war crimes https://t.co/4d78Cfss4u,[],2009-06-27 01:09:47+00:00,51299075,1586160596973768704
1,freethekink,Dedicated to the #freedom of #sexuality and #kink.,,153,130,91,0,The House of Daemon had to move his Dungeon Special to tomorrow night. https://t.co/YQWsXn7lg7,[],2019-06-19 08:58:51+00:00,1141269097482612736,1586160594880647168
2,mynkwalls,"spinning and waiting for ya to pull me in
                                         - satellite",wolfsong ,2144,3362,60554,136,"que delicia o daemon falando o nome dos dragões do team black

https://t.co/6WD4bJhRcs",[],2018-11-09 12:23:35+00:00,1060870515076808705,1586160593882357760
3,labendisionpapa,"fumo black mamba me gusta el mambo
🐉🈵🔱",España,118,60,567,97,"matt smith como daemon targaryen sempre será famoso
https://t.co/gznubUIVvS",[],2019-11-12 10:42:34+00:00,1194203740083040257,1586160563889246208
4,RobotJonees,Any/All | 19 | INFP-T | Mixed | Music and videogame addict | Ghost best band | Autism power,Argentina ,717,206,31854,1605,"The eternal Prince ( Daemon Targaryen )

New art ! 🙂

What Game of throne character did you want i paint next ? 🧐

Print link in comment https://t.co/MVWzQzm1zU",[],2020-11-10 02:04:26+00:00,1325982578332020737,1586160560198017025
5,BohoBougie,"Unionist, Rabberouser, #BrazenHussy, Resident Smart-Ass, Defender of the Defenseless, Purveyor of Pop Culture, Knower of Useless Trivia #KHive #SussexSquad",In the Heart of it All!,3356,2092,56459,82,"It's honestly hilarious how despite every sht that went on in the finale, the writers vs fans are still fighting, debating &amp; arguing about Daemon fckn Targaryen. GRRM is probably meta laughing that his fave Targ is the most debated &amp; controversial, LMAO.

#HouseOfTheDragon #HOTD https://t.co/jClCK2VWAO",[],2012-02-07 02:16:50+00:00,485309377,1586160525607841792
6,_mlissaxo,☼ ♋︎ 𓋪♎︎ ↑ ♒︎ • 🏳️‍🌈 🇸🇻 🇺🇸• parent 💕 • plus size❣️• 26 • plant-based pescatarian🌱,MD • she/her • infj • taken,196,216,118572,3086,Daemon Targaryen when it’s time to do war crimes https://t.co/4d78Cfss4u,[],2018-07-05 00:44:07+00:00,1014671231071784962,1586160524605411328
7,conta_aaa,"- Fico imaginando se sente por mim a mesma estranha atração que sinto por você -
 | sapphic content | ela/dela | TDAH | ace | psico 1/10 | 📚",na sua ,3541,2644,143790,45,"joffrey? era o daemon disfarçado
ramsay? era o daemon com cabelo pintado
cersei? daemon tinha um enchimento de peito, uma peruca ruiva e um sonho 
rei da noite? daemon foi se aventurar pra lá da muralha ficou preso e resolver domar os mortos",[],2018-05-27 16:33:10+00:00,1000776939345465348,1586160523862646784
8,darthvanner,“get you a girl who can do both” well what about getting you a girl who can’t do anything? hi,"New York, USA",746,7965,543132,3086,Daemon Targaryen when it’s time to do war crimes https://t.co/4d78Cfss4u,[],2009-05-09 16:15:28+00:00,38878620,1586160514324783104
9,Mercyless__,"Rhaenyra rainha, fãs da Alicent por favor retirem-se sem tumultuar...
( 20y | he/him )",Brasil,91,24,2141,3086,Daemon Targaryen when it’s time to do war crimes https://t.co/4d78Cfss4u,[],2020-06-04 11:16:36+00:00,1268501783665655808,1586160513938911232
