,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,BalterKathryn,"mom, former small business owner, nurse, Democrat all day! and grandma to 2 beautiful boys","Ventura, CA",972,334,5144,1514,"BREAKING: In another blow to new Twitter owner Elon Musk, General Motors announces that it is pausing ALL advertising on Twitter over the “new ownership” and concerns over “the direction” that Musk wants to take it by inviting banned accounts back. RT TO THANK GENERAL MOTORS!",[],2018-06-25 00:24:19+00:00,1011042366990372864,1586151888554061824
1,WNiggems,,,714,254,15290,1822,"This just in: We have our first Woke corporation that can’t stand the idea of Americans having free speech on Twitter.

GM has temporarily suspended ads on Twitter after the Elon Musk takeover, as reported by CNBC.

So it begins.",[],2019-06-30 19:53:29+00:00,1145420109974036480,1586151887937490945
2,sww1235,Someone Somewhere interested in things and stuff. import disclaimer.h,Denver CO,1016,509,204292,27,"So, furries: are we decamping to elsewhere, or are we making Elon Musk regret ever having even thought about buying Twitter? 😛",[],2008-09-29 22:48:30+00:00,16519923,1586151887912374272
3,TheDojoYo,"Veteran, teacher, coach, writer, and social activist just trying to get the word out.","Middle of the Map, USA",682,165,96198,1514,"BREAKING: In another blow to new Twitter owner Elon Musk, General Motors announces that it is pausing ALL advertising on Twitter over the “new ownership” and concerns over “the direction” that Musk wants to take it by inviting banned accounts back. RT TO THANK GENERAL MOTORS!",[],2021-05-12 14:22:54+00:00,1392485395397480451,1586151887832637441
4,EnriqueRocuant,"Antifascista, ateo, librepensador, de izquierda, la democracia y los derechos humanos  representan principios y valores intransables. Pertenezco al 38% !!",Ciudadano del (viejo) mundo,2673,1213,44960,11,"El primer anuncio que hizo Elon Musk cuando toma el control de TWITTER , es que eliminará los BOTS.

PD : tenemos posibilidades en otro Plebiscito 🎈",[],2020-08-22 16:45:51+00:00,1297213322257989633,1586151887627489280
5,BellsBroken,"🏳️‍🌈🇨🇦🇺🇸🌊 Black Lives Matter.
Psychology (Object Relations) and English Literature (Especially Hemingway).","Home Swamp Home, USA ",2490,1692,17097,10062,BREAKING: Top companies to pull all ads on Twitter If new owner Elon Musk reinstates former President Donald Trump‘s account.,[],2019-08-23 13:45:17+00:00,1164895787156955136,1586151887585189889
6,caringguy1957,"Dog lover, #resist, science educated (not a scientist), world traveler, Veteran, photographer, proud dad, smartass, #mask #StandWithBiden #drcole #voteblue",TN/DC,8701,10028,55320,73,"Elon doesn’t scare me, and I’m not planning on going anywhere anytime soon.
That said - should something happen to my account, you can find me on Instagram at jojo.fromjerz, or on Facebook at JoJoFromJerz, and you can always find me over on my Patreon https://t.co/eWqMDlyuvR
❤️",[],2020-06-18 13:44:14+00:00,1273612436726321156,1586151887572992000
7,unluckyme2222,"HANG IN THERE :)
 #ayuminati #jihantesti #callistars #fambun #taefairy #callistar 6️⃣5️⃣🎹 #CryPoqFamily",Canada,5000,177,29482,39,Elon Musk Tesla Engineers reverseiny Shadowbans on Twitter 😩👏👏👏👏👏🔥🥳🥳🥳🥳,[],2022-03-07 03:23:27+00:00,1500673260765458432,1586151887388430336
8,Machee23,"Free-Thinker, History & Culture enthusiast Independant No time for your Virtue Signaling",,24,20,824,0,@cynsinaspen @KariLake @Liz_Cheney @elonmusk Hey Elon I found one of those 🤖.,[],2022-06-09 19:58:23+00:00,1534988259893428244,1586151886176284672
9,Leomo5Moreira,,,160,121,7972,244,"🇺🇲 | Elon Musk anticipa que el autor Jordan Peterson podrá volver a Twitter: ""Todos los que hayan sido suspendidos por causas extrañas o menores van a ser liberados de la cárcel de Twitter"". https://t.co/AdL6Gw6NIm",[],2015-01-03 13:19:48+00:00,2958400137,1586151886172098561
