,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,omarceloaguiar,♡,,827,293,6556,193,"Rhaenyra and Lucerys💔
#HouseOfTheDragon 
#HOTD https://t.co/P4RGYXQMNm","['HouseOfTheDragon', 'HOTD']",2020-12-14 01:07:38+00:00,1338289425386786816,1586160010299580416
1,WomanFromAsshai,"Não basta me ver, tem que me conhecer. ♑♑🌒🌕🌘","Rio de Janeiro, Brasil",664,331,26886,56,The succession has been challenged. Head here to brush up your Westeros knowledge: https://t.co/Os1fJrZ0pN. #HOTD https://t.co/bVjqXpjz8c,['HOTD'],2021-01-16 15:11:38+00:00,1350460457652539392,1586159972924235778
2,Evegr33n,Exitosa empresaria del lucrativo negocio de ventas de leches purita del consultorio.,,1443,3841,38790,0,"@raulmatias @soyelchevi Me pasa igual cuando le dan tanto con algo, a veces si no la veo altiro cuando sale después no termino de verlo. Me pasó con HOTD, con Attack on titan y con muchas otras que aún no veo el cap final. La de Dahmer la vi apenas salió.",[],2012-02-14 03:08:07+00:00,491861642,1586159919555743746
3,cardanphilia,"DOHAERAS, VHAGAR! LYKIRI.",favourite worst nightmare ,104,97,3593,0,"é incrível a semelhança que eu tenho com o aemond targaryen de hotd, além de sermos literalmente iguais...temos o mesmo mindset, ambos somos extremamente frios e estrategistas em nossa forma de pensar e agir..bizarro'-' ele me representa muito, somos dois deuses nesse mundo",[],2021-07-18 18:33:18+00:00,1416828402645016581,1586159912412905472
4,_RHATARGARYEN,ᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟᅟ❛ 𝒍𝒂𝒅𝒚 𝒓𝒉𝒂𝒆𝒏𝒂 proved to be as tractable ⠀as her sister had been willful . ❜  𝚙𝚝 - 𝚋𝚛 / 𝚎𝚗𝚐,"ᅟ ᅟᅟᅟᅟ𝐑haena         𝐓argaryen    
ᅟᅟᅟ𝐋ady 𝐎f 𝐏entos   ────  𝐁aela's 𝐭win
ᅟ       𝐃aughter 𝐃aemon   𝐚nd ╱  𝐋aena .",110,121,159,0,"@DEADBACHELORR1 𝐎𝐎𝐂: Obrigado, é bom encontrar brasileiros no rp de hotd/got.",[],2022-10-22 02:39:51+00:00,1583649267444596738,1586159904242339840
5,roguesdelights,#housetargaryen,dragonstone,943,20560,35543,0,"e antes que venha alguma página de hotd ou de stan da alicent me quotar para dizer que minha lógica ou interpretação de texto é de centavos. eu estou fazendo piada e zoeira com os termos escolhidos e usados na entrevista. ok? é sexta à noite, não sejam chatos.",[],2019-05-04 16:23:15+00:00,1124711092872273926,1586159876274679808
6,aemondpilled,blood of old valyria. dungeons & dragons enthusiast. problematic content. minors DNI.,she/they | 18+,745,244,5426,0,@shaycrmac seriously the antis and purity policing in the asoiaf and hotd fandom right now .... making me bonkers,[],2020-11-06 01:39:41+00:00,1324526796155441154,1586159862689329152
7,AireneStark,"'This is the most uncomfortable coffin I've ever been in.' Sweeney Todd poster over the bed.
Gdy nikt nie patrzy, tańczę i śpiewam.",Poland,150,70,2852,9,Rhaenys Targaryen in Episode 10. #HouseOfTheDragon #HouseOfTheDragonHBO #HoTD #EveBest https://t.co/eoGTSsVVzN,"['HouseOfTheDragon', 'HouseOfTheDragonHBO', 'HoTD', 'EveBest']",2012-07-11 15:41:25+00:00,633072777,1586159799737077760
8,erulissae,The saddest girl to ever hold a martini.,godforsaken hellhole,502,260,31041,0,"eu nem sou mãe e chorei (re)vendo o último episódio de hotd
a rhaenyra só passa por tragedia coitadinha meu deusssss",[],2018-07-12 16:57:49+00:00,1017452985260142592,1586159759287263234
9,YasLion15,"🇧🇷(comissões fechadas) artista amador/ tentando desenhar alguma coisa boa/Fanarts, Ordem Paranormal/olha meu carrd favor                        📷: @vantaseer",any pronouns  y18,1030,2923,52424,0,"Isso aqui tá mais legal que aula de história ou HOTD

https://t.co/Myzx6zBzHV",[],2019-10-28 02:31:58+00:00,1188644333341290497,1586159735132553216
