,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,iHaelzTsgFDACDO,"twitter初心者の高校生。
まふまふさん推しです！米津玄師様、歌い手やVtuber、プロゲーマーやストリーマー、ラッパー好き
やっているゲーム→ブロスタ（37k)/pokemon go/雀魂",,421,78,1057,0,@lettuce_bs 適当wじゃーレタスタでw,[],2021-12-19 22:11:33+00:00,1472690640060583936,1587035026335895552
1,virgobutterfly_,"Nourish your faith, starve your fears",Kenya,717,436,2030,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2014-07-02 07:52:35+00:00,2599380158,1587035009453629442
2,gpgiddings3,,,310,44,5617,51,Oof. It's not as immediately damning as the lettuce comparison - but it will have a much longer shelf-life. https://t.co/aLLAHu4wOe,[],2016-08-07 15:25:10+00:00,762308611393617920,1587034920224002049
3,iyagomu,ヘッダー画像を描いた作家さま⏬ 💎⚾9⃣㍍💎 @entoh9m 虫ノ輔さん 💎⚾9⃣㍍💎 このアカウントはイヤホンのゴムのメイン垢です。 星を見ておいでですか? https://t.co/N8sZnvEIhD,日本,376,384,35384,0,"@Lettuce_Labo おかわり感謝😭😍
いいですねぇ〜〜素敵シナリオ",[],2017-02-16 00:18:52+00:00,832021390811279360,1587034894001410048
4,waweruj7,"Nobody can give you freedom.Nobody can give you equality or justice or anything.if you’re a man, you take it.
@manutd❤️🇰🇪

SoftwareEng/Oracle & linux","Nairobi, Kenya",192,109,2878,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2020-04-07 14:39:46+00:00,1247534459777191936,1587034893816569858
5,shatteredcodes,Telecommunication and information Engineer...CCNA certified ..Cisco💯5G Here we Go✨,Kenya,5046,5211,21661,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2022-04-04 10:22:11+00:00,1510925608968142855,1587034863336562689
6,NdegwaStephen,Interested in people who are interested.,"Central, Kenya",3186,3863,141840,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2011-05-12 09:29:47+00:00,297315451,1587034818038190080
7,sadockjr,"I am here to learn, unlearn, Relearn and Connect.",Heaven on Earth,4010,6545,26372,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2017-01-30 10:30:00+00:00,826014591780081665,1587034770898313217
8,AliAnne2010,"Enseignante, Franco-Ontarienne • Advocating for Students #BoycottEQAO #CancelOSSLT",Ottawa,1303,781,22143,52,"For an ed worker making $43k/yr in Ontario, Stephen Lecce’s latest bully “offer” means an extra $1.30 PER DAY in pocket. That’s about 1/4th of a head of lettuce these days. Work a week, and you can afford a whole head! https://t.co/CcaDjYyHKe",[],2014-05-12 03:28:24+00:00,2490753462,1587034753932398595
9,viviengreenlee1,,"Northern Ireland, United Kingd",3718,2135,172382,1672,Sorry but who *didn’t* go to halloween as the lettuce that outlived Liz Truss? https://t.co/yLZhjoTJYu,[],2016-01-15 12:00:13+00:00,4813903696,1587034740753928192
10,iyagomu,ヘッダー画像を描いた作家さま⏬ 💎⚾9⃣㍍💎 @entoh9m 虫ノ輔さん 💎⚾9⃣㍍💎 このアカウントはイヤホンのゴムのメイン垢です。 星を見ておいでですか? https://t.co/N8sZnvEIhD,日本,376,384,35384,0,@Lettuce_Labo おかわりください！,[],2017-02-16 00:18:52+00:00,832021390811279360,1587034736685637634
11,Bello_Bx2,"BLACK RONIN ||
こんにちは ||
LOW-KEY CREATIVE ||
ANIMES ||
THE MOON ||
⛩️",,1147,1060,24432,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2014-03-20 19:12:58+00:00,2425315942,1587034710361997312
12,shou0209240,ブロスタやってます!! NEØ族のリーダーやらせてもらってます!!🏆35000⤴︎ ヒューズしか勝たん!! APEX PC勢 ランク最高ゴールド2 VALORANT初心者🔰 🤝→@Saki1025bs 最高最強の友達👏→@sekowaza_hero 鍵垢🗝@shouchansadddd,,2056,2110,25216,0,@lettuce_bs 実はこれ、豚汁なんです😏,[],2021-01-08 14:17:53+00:00,1347548022553526273,1587034650563596292
13,bwfarrell_,(He/Him),"Scotland, United Kingdom",422,114,42713,51,Oof. It's not as immediately damning as the lettuce comparison - but it will have a much longer shelf-life. https://t.co/aLLAHu4wOe,[],2011-12-04 12:06:37+00:00,428153760,1587034625230209024
14,gracechemuu01,Whatever good there is shall go to those who are good for it.,"Nairobi, Kenya",2918,3205,3652,914,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2020-03-27 16:06:15+00:00,1243569886376402945,1587034619060305922
15,lettuce_bs,🏆32000│Brawl Stars|enjoy！,,616,602,2400,0,"@iHaelzTsgFDACDO レタスタ割と響きいいなぁ、
レタスタで！笑笑笑笑",[],2022-02-15 14:54:02+00:00,1493599386835763202,1587034599544475648
16,michaelcomley1,,,73,140,100047,51,Oof. It's not as immediately damning as the lettuce comparison - but it will have a much longer shelf-life. https://t.co/aLLAHu4wOe,[],2013-05-26 09:12:22+00:00,1459162398,1587034573946253312
17,Frazzlaga,The lasagna in the fridge is mine dont touch it.,"earth, milky-way galaxy",351,111,14547,0,"The deluxe regrub comes with double the cheese, lettuce, tomato, onions, pickles, and condiments",[],2011-11-10 12:57:05+00:00,409225097,1587034555504017409
18,pmodongo,Kaat♥️| Daughter of the nile| Jesus is Lord| will be sure to send the elevator back down| BLACK AS FUCK,"Malmö, Sverige",569,931,53027,915,"My dad's shamba produces red , green and yellow bell peppers, ice berg lettuce, red onions, yellow beans, maize, spinach and sukuma. Directly from the shamba, deliveries every Monday,Thursday in nairobi. Please retweet so it can reach potential consumers 🥰😇 dm for any enquiries https://t.co/McM2xkJ2RT",[],2010-08-18 08:32:54+00:00,179867902,1587034418149052417
19,iHaelzTsgFDACDO,"twitter初心者の高校生。
まふまふさん推しです！米津玄師様、歌い手やVtuber、プロゲーマーやストリーマー、ラッパー好き
やっているゲーム→ブロスタ（37k)/pokemon go/雀魂",,421,78,1057,0,"@lettuce_bs wwwww
じゃーなんて呼べばいい？",[],2021-12-19 22:11:33+00:00,1472690640060583936,1587034410997907457
20,jahodgins,"twin mom, learner, teacher, talker. let’s go outside. she/her",Toronto,1640,1154,56202,52,"For an ed worker making $43k/yr in Ontario, Stephen Lecce’s latest bully “offer” means an extra $1.30 PER DAY in pocket. That’s about 1/4th of a head of lettuce these days. Work a week, and you can afford a whole head! https://t.co/CcaDjYyHKe",[],2010-07-26 14:05:40+00:00,171076111,1587034348259262466
21,lettuce_bs,🏆32000│Brawl Stars|enjoy！,,616,602,2400,0,@shou0209240 味噌スープが美味そう(*´﹃`*),[],2022-02-15 14:54:02+00:00,1493599386835763202,1587034346162380801
