,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,jamlus_laili,tired already,Taiping,119,126,3154,863,"There’s a hidden place on the rooftop of 1 Utama that sells organic plants, straight from the pots. You literally pluck them from the trays (?) that they’re growing in. You can get bayam brazil, choy sum, basil, lettuce, kacang buncis etc for RM1-RM4 a bunch",[],2016-02-05 14:31:40+00:00,4864737740,1586161009345298432
1,auruorr,why,🏳️‍⚧️,223,92,4974,0,@sugarxcreme the lettuce will outlast elon,[],2021-12-05 01:17:11+00:00,1467301932490539009,1586160955419131904
2,alittle_lettuce,😋,,188,53,8644,0,@_homotron3000 deserved,[],2019-11-07 02:06:29+00:00,1192261956247457792,1586160937735573505
3,evilntboss,"venus en capricornio, por eso estoy soltera.",scz // her,134,144,1569,0,@alittle_lettuce @_homotron3000 https://t.co/xThIzLhY9W,[],2020-07-04 18:10:41+00:00,1279477718648848395,1586160725520973824
4,arif_ellam,,"Barnet, London",698,226,5706,0,@Sillyshib Eating lettuce,[],2021-05-09 08:10:08+00:00,1391304404519866368,1586160694344441857
5,fairy_lettuce,自分に優しく、他人にはもっと優しく UT教心(B2) 趣味: ゲームいろいろ🎮 Icon by @p_2k 競プロ: @lettuce_cs (休止中) she/her 🏳️‍🌈🏳️‍⚧️,ゆるふわ情報系心理学徒見習い,1647,1308,7714,0,☀,[],2016-03-30 08:09:32+00:00,715088555928735744,1586160666930397184
6,MikeLovesBeer,“Prominent beer person.” Marketing Brewer. Photographer. Designer. Writer. Podcaster @unitedwedrink. Philly guy in FL. Opinions are mine & all that jazz.,"West Palm Beach, FL",1248,3278,24033,0,"@BobbyBump @DukesMayonnaise @Chefkylebailey Yeah, lettuce is more a texture thing for me. I like that crunch on a burger or sandwich. What this looks like is a kinda Cole slaw so seasoning makes even more sense.",[],2008-11-21 18:48:59+00:00,17542682,1586160527088259072
7,Darth_VaderNo1,"#DarthVader #Sith Lord
#StarWars fan since 1977
#DarkSide #TeamDarkSide 

Nooooooooooo DM'S, unless agreed.
Living in the Mountains of Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿",Death Star 🌐™(-o-) ,32825,30084,76037,0,"@sparklehash I'm sure you are. 

She really was a wet lettuce.",[],2015-10-22 17:53:24+00:00,4018454427,1586160246946680832
8,personalfitnes3,"👇BulkSupplements Website LINK
https://t.co/6sIzCUg1tw
Save with Promo Code: PF3
⛹🏽‍♂️🚴‍♀️🏋🏾👩🏽‍🦽
https://t.co/qitMd5Ew4R💪😎",GET MOTIVATED / STAY MOTIVATED,4585,7070,970376,0,"#RecipeOfTheDay
#Food 😋
Bacon, Lettuce, and Tomato Macaroni Salad https://t.co/wQFfCvWh9h
LIKE ▪️ SHARE ▪️ COMMENT","['RecipeOfTheDay', 'Food']",2013-06-02 08:27:02+00:00,1476742116,1586160207046008833
9,alittle_lettuce,😋,,188,53,8644,0,@evilntboss @_homotron3000 esto es publico,[],2019-11-07 02:06:29+00:00,1192261956247457792,1586160174972440577
