,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,am_malfoy,eyes full of stars,taylor swift | p!atd | omam,391,120,3774,9,https://t.co/F3AvETDjm5,[],2018-11-18 15:54:11+00:00,1064185005608484865,1586159349541789696
1,Mel_Malfoy,,,67,2,83,313,a donde va uno cuando le duele el corazón?,[],2022-08-25 01:17:33+00:00,1562609874101407744,1586159116489089024
2,Mel_Malfoy,,,67,2,83,1011,ⓘ Este usuario necesita hacerse tatuajes,[],2022-08-25 01:17:33+00:00,1562609874101407744,1586159077511438337
3,avpmlyricbot,"tweets lyrics from avpm, avps, and avpsy every 30 minutes. more info in carrd",Hogwarts,1,17,24661,0,The reign of Malfoy is drawing near,[],2021-05-26 04:22:38+00:00,1397407201833013248,1586158824615919616
4,DaraMorefield,“The men who want to go into female-only spaces are the reason why female-only spaces were invented.” (Sal Grover),Terf Island,299,917,29648,0,@CambridgeUgly @GirtonCollege @Cambridge_Uni “Inclusivity” concerns? Malfoy might feel judged? Or Dolores Umbridge deemed too similar to Eddie Izzard?😉,[],2016-10-14 20:45:58+00:00,787031718570106880,1586158540523466752
5,atmosferick,Doing so may result in loss of concepts of time and self 💘,,626,21,751,24,۞❥ draco malfoy is my first real crush; https://t.co/AjENIPYLyY,[],2022-04-21 10:24:56+00:00,1517086907355836417,1586158245890105344
6,Artaiser_NFT,,,199,81,52,0,"@MikeBradley27 @Niall_Boylan @elonmusk So making assumptions about the ability of other people to distinguish between truth and fiction, is free debate is it? Thanks for clearing that up Malfoy, please forward your list of approved conversations.",[],2022-10-07 03:32:28+00:00,1578226448682606592,1586158240290983937
7,Karin_Malfoy,#FORAGENOCIDA,,3290,2312,105318,5,"Quem roubou do povo brasileiro pra comprar mansão, quem quem quem?
BOLSONARO!",[],2019-04-22 23:00:57+00:00,1120462524359561218,1586158049227837441
8,Karin_Malfoy,#FORAGENOCIDA,,3290,2312,105318,1,O Bolsonaro tentando um tom de voz calmo na propaganda eleitoral. Falhou miseravelmente! Só dá impressão que tá chapado mesmo!,[],2019-04-22 23:00:57+00:00,1120462524359561218,1586157933141827584
9,saphira_malfoy,Ela/Dela//Potterhead//Animais Fantásticos é foda//🏳️‍🌈🏳️‍⚧️//Newt Scamander é fofo//Essa conta é a conta mais idiota do mundo,na casa do krlh,16,3,35,0,"@severo_snape__ É foda viu Lucius,prr,nem tu",[],2022-09-05 18:17:56+00:00,1566853060701437954,1586157579251564545
