,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,Enzetti99,"Velez Sarsfield   .22 Nadie nos quita lo bailado y hemos bailado bastante
-Streamer Afiliado en @Twitch
Zapatillas en: https://t.co/utBeg7Vwm5",Linierss,608,426,16985,2601,"Nunca lo escuchamos a Messi así. Nunca. 

Es el Messi que nos dijeron que no existe, el Messi que Messi no es. Todos chamuyeros. Vi estos segundos y quiero salir a inmolarme atrás suyo. https://t.co/g6PlmdcgLL",[],2014-06-26 00:27:48+00:00,2642267441,1587810175204921344
1,TiagoQuintana07,"🏀❤ -
9/12💀⚰","Resistencia, Argentina",157,54,630,2601,"Nunca lo escuchamos a Messi así. Nunca. 

Es el Messi que nos dijeron que no existe, el Messi que Messi no es. Todos chamuyeros. Vi estos segundos y quiero salir a inmolarme atrás suyo. https://t.co/g6PlmdcgLL",[],2019-11-13 04:43:14+00:00,1194475753003520000,1587810174890303489
2,LeartAdemi8,Just having fun,,115,2,19,342,Mention that guy who's a Ronaldo fan but deep inside knows Messi is the GOAT. https://t.co/Ewp5gvrddF,[],2021-06-12 19:33:11+00:00,1403797487908003842,1587810174542176256
3,Cmoltisanti16,iddia uzmanı,"Los Angeles, CA",1596,516,16939,2197,handsome men know Messi is the goat,[],2020-08-01 11:10:10+00:00,1289518574101569536,1587810174210801671
4,otxogt,Entrepreneur - Gaming - Sports Fan,Guatemala,584,407,8002,2601,"Nunca lo escuchamos a Messi así. Nunca. 

Es el Messi que nos dijeron que no existe, el Messi que Messi no es. Todos chamuyeros. Vi estos segundos y quiero salir a inmolarme atrás suyo. https://t.co/g6PlmdcgLL",[],2010-10-20 19:50:11+00:00,205396899,1587810174038904832
5,Gab2ale21,https://t.co/psbXf6opmX,,2731,495,6782,18,"Ya estamos en el mes del Mundial y qué mejor que ver el partido que hizo Messi en la Finalissima contra Italia 🇮🇹

🇦🇷🤞🏆
https://t.co/389NyyPB0v",[],2018-03-23 17:58:01+00:00,977243082352660480,1587810174030544896
6,mergorga,river y nada mas,arg,511,637,6682,2601,"Nunca lo escuchamos a Messi así. Nunca. 

Es el Messi que nos dijeron que no existe, el Messi que Messi no es. Todos chamuyeros. Vi estos segundos y quiero salir a inmolarme atrás suyo. https://t.co/g6PlmdcgLL",[],2016-07-16 19:27:13+00:00,754396992856555520,1587810173766275074
7,Despicably_me_,NO REGRET NO SORROW NO REPENTANCE NO GRIEF.,,88,483,101178,341,"🗣️ Messi before final: “There is no such coincidence like this. This cup had to be played in Argentina. And God brought here. He brought it here to lift up at Maracana, to make it more beautiful for everyone. let's go out confident and calm and we'll take this one home…” https://t.co/R6GeisAGh4",[],2016-08-29 18:05:21+00:00,770321455070388225,1587810173749727233
8,_madmax_001,.,chennai,665,815,247576,153,"Joe Makin (Man City scout and discoverer of Foden):

""In my opinion, Ronaldo beats Messi because of the fact that Ronaldo has been the top scorer in England, Spain, Italy and as well as Portugal. Messi has only done it in Spain, where the first two clubs dominate."" https://t.co/Sys2aBnfcP",[],2019-07-02 15:15:14+00:00,1146074861954981888,1587810172822773760
9,jheyzer,yo solo sé que no sé nada... #LiveFromLima,Lima ,551,458,9937,422,"😍 La arenga de Messi
en el Maracaná.

Listo. Estoy oficialmente manija.

https://t.co/WhFiRQBMxQ",[],2009-10-26 07:40:31+00:00,85262714,1587810172646440960
