,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,KarazaarweS,"Arsenal fan ❤️
ICT mentor 💻🖲️","Ntungamo, Uganda",1536,536,835,183,"Messi - total stats:

9️⃣9️⃣3️⃣ games
7️⃣8️⃣5️⃣ goals💥
3️⃣4️⃣4️⃣ assists💥
4️⃣1️⃣ trophies
6️⃣0️⃣ freekicks
5️⃣6️⃣ hattricks
8️⃣ Pichichi
7️⃣ Ballon d'Or
6️⃣ Golden Boot
6️⃣ FIFA Best Player
2️⃣ UEFA Best Player https://t.co/q254bKdtQ2",[],2019-10-19 17:00:48+00:00,1185601491484250113,1586418875096260611
1,chofereqs,"|❤River Plate🤍|🤍Leeds United🤍|🎧Música🎧|
🎌Davide Moscardelli en Haxball🎌","Scranton, Pensilvania",709,54,16462,40,"El 2022 de Messi para cualquier otro jugador sería el mejor año de toda su carrera, para él no está ni cerca de serlo, que animal, que juegue hasta los 58",[],2021-03-11 22:34:25+00:00,1370141063273402368,1586418874810916866
2,Legace_,"'Irene Adler is dead. Call me Bond, James Bond' . #Santa13 @LFC #MIAbaga #Wretch32 #EL",,1183,1790,335420,389,We never thought we'd see the day where Sergio Ramos was assisting Messi worldies 🤔 https://t.co/BVgcmcFZBo,[],2012-08-09 23:00:23+00:00,748111292,1586418874538393601
3,msiyana_10,eske,EL | CPT,361,301,23475,138,Messi’s goal from outside the box 🤤🤤 https://t.co/hZFLDJtpxH,[],2013-11-28 11:15:41+00:00,2199114317,1586418873980837888
4,weltaanschaung,Liverpool | Buku | Film,,506,65,915,491,This angle of Lionel Messi's goal for PSG. https://t.co/EUw8I7x2Oi,[],2018-11-21 14:10:30+00:00,1065246076884541440,1586418873808875520
5,Hashira_Culer,"Messi, Barca, Milan and Argentina prop

#CSK 🐐MSD forever
I usually follow back but if I don't ask me through dms or replies.",Messi's Planet,1168,1462,7943,0,"@piersmorgan Updated Official penaldo music playlist:
1. Beyond Washed (Solo)
2. My Owner(Ft. Ten hag)
3  Don't Reject Me(Ft. Chelsea)
4. GOAT (Ft. Messi🐐)
5. Dickriding (Ft. Piers morgan,Rio)
6. My Level (Ft. Everton, Sheriff)
7. Goals (Ft. Penalty, Tap in)
8. Carry Me (Ft. Modric, Kroos)",[],2021-10-29 13:11:57+00:00,1454073448414670852,1586418873653501952
6,RobWard57294790,,,21,0,115,0,@piersmorgan Messi won the Copa America...,[],2021-08-16 21:46:15+00:00,1427386156237348868,1586418873410125826
7,NahDasCrazy00,Nothing much,,16,2,195,0,@Lionel30i Neymar and messi could have 50+ if that bumbappe finished those,[],2021-07-07 18:51:16+00:00,1412846635051143169,1586418873229668354
8,DAMODARANAS1,"DIE HARD @Mohanlal FAN🤩💪@mammukka

@Argentina🇦🇷

#Messi🇦🇷

@antonioguterres

@narendramodi🇮🇳🙏

@elonmusk🔥

@JoeBiden🇺🇲

@POTUS🇺🇲",God's Own Country ,6264,5524,17690,1705,Drop an emoji for Messi...,[],2018-05-15 05:08:20+00:00,996255940323065857,1586418872730537984
9,rapidfire_10,,Barcelona,54,68,9143,442,"THE GREATEST OF ALL TIME

LIONEL MESSI https://t.co/7ahznOh8hY",[],2013-04-25 04:25:38+00:00,1378650391,1586418872403755008
