,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,whampov,19 ▪︎ they/them ▪︎ quacktwt main ▪︎ eng/esp ▪︎ dtqk+pft ▪︎ doozer #114 (news anchor and body guard) ▪︎ 🏳️‍🌈,foolish stream,444,382,13491,5,"this is Twice now that himbrostwt started crying and being sad and dramatic bc we thought punz and foolish were being separated only for them to not only go back to nc together after twitchcon, but for foolish to Literally be in florida not even 2 days after punz left nc",[],2021-12-24 20:04:36+00:00,1474471036464910353,1586161318767493121
1,2Beats2_,Juan va en bicicleta,,197,1,165,1559,🎬 Quackity mostrando su colección de Dr. Simis que le regalaron en la TwitchCon (VER BAJO SU PROPIO RIESGO) https://t.co/z9NvB9VuSv,[],2022-02-24 16:22:05+00:00,1496883016555241472,1586161135929245696
2,ech0bug,darling you'll be okay*ﾟ,they/them•19,4890,2691,40455,5,"this is Twice now that himbrostwt started crying and being sad and dramatic bc we thought punz and foolish were being separated only for them to not only go back to nc together after twitchcon, but for foolish to Literally be in florida not even 2 days after punz left nc",[],2018-11-18 22:07:43+00:00,1064279005677838337,1586161089850462208
3,chemeekstry,#punz i miss my windex bottle #foolish i miss my little nerd,"/hug azypoo :›
-17 any prns aroace
♡ taay chi bon socks roos ♡
• alli mila •
ddtmgc | offliner",738,1221,23359,5,"this is Twice now that himbrostwt started crying and being sad and dramatic bc we thought punz and foolish were being separated only for them to not only go back to nc together after twitchcon, but for foolish to Literally be in florida not even 2 days after punz left nc",[],2021-12-18 15:21:26+00:00,1472225456485285893,1586160961521868800
4,atlas_asleep,🏳️‍🌈🏳️‍⚧️ poc | doozer & duder #76,they/he + any neos | 18+,362,106,843,5,"this is Twice now that himbrostwt started crying and being sad and dramatic bc we thought punz and foolish were being separated only for them to not only go back to nc together after twitchcon, but for foolish to Literally be in florida not even 2 days after punz left nc",[],2022-10-15 15:27:28+00:00,1581305689275715584,1586160800045015040
5,VenusDragon2,Totemtwt + Eternaltwt + Hermittwt + others — Doozer #111 — 23/Ace/Female/On The Autism Spectrum/Reblogged 18+ Content Caution-Advised,she/her ,3037,209,169378,5,"this is Twice now that himbrostwt started crying and being sad and dramatic bc we thought punz and foolish were being separated only for them to not only go back to nc together after twitchcon, but for foolish to Literally be in florida not even 2 days after punz left nc",[],2019-03-15 10:27:33+00:00,1106502183133040647,1586160633053351936
6,starsinjello,#3 himbros enthusiast and proffesional awesamdude hater,any pronouns,2446,3595,72227,5,"this is Twice now that himbrostwt started crying and being sad and dramatic bc we thought punz and foolish were being separated only for them to not only go back to nc together after twitchcon, but for foolish to Literally be in florida not even 2 days after punz left nc",[],2019-12-27 18:48:40+00:00,1210633575353090048,1586160540023459842
7,shai4hq,:),,78,0,81,845,twitchcon disposables ✨ https://t.co/X4xfExamjS,[],2021-12-23 13:23:51+00:00,1474007670403309600,1586159883480883200
8,Joshhhhhh1548,pfp + banner by @EdSunspot,he/she/they | bi,3249,1761,36190,845,twitchcon disposables ✨ https://t.co/X4xfExamjS,[],2020-09-22 21:14:15+00:00,1308514542255845376,1586159528797691905
9,lizzay403,"#Pro Digital Artist
 #Vtuber_Art Logo Banner Overlay Emotes #Character_Design intro outro | Animations 2D 3D model’s  DM me for custom Work COMMISSION Open",Canada,828,87,90,0,"Hey hope you're doing well !!
#Gaminglogo . If you need any custom graphic stuff for your twitch page so you connect me anytime☺

#Twitter #twitch #twitchstreamer #twitchaffiliate #twitchgirls #TwitchCon #twitchgamer #TwitchPartner #TwitchNews

Reference image from web. https://t.co/Znyw13cOOY","['Gaminglogo', 'Twitter', 'twitch', 'twitchstreamer', 'twitchaffiliate', 'twitchgirls', 'TwitchCon', 'twitchgamer', 'TwitchPartner', 'TwitchNews']",2022-09-14 17:02:29+00:00,1570095372298600451,1586159149402017797
