,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
0,VideosChelseafc,A true Chelsea fan,,599,74,874,0,@NizaarKinsella Pulsisic also rested after scoring and assisted for last 3 games....Maybe to get good rest before worldcup,[],2022-09-06 21:09:07+00:00,1567258553840173064,1582800072269762561
1,BurkeniEatf53,,,3,0,2,0,"To celebrate the #WorldCup, @LiveArtX and @BNBChain jointly launched an artists' feast HackARThon: LiveArt Championship and is giving away 5,000 Championship Passes with a lot of perks.  #NFTgiveaway #giveaway  #ChampionshipOnBNBCHAIN https://t.co/v6m3uXNqS5","['WorldCup', 'NFTgiveaway', 'giveaway', 'ChampionshipOnBNBCHAIN']",2022-09-20 15:28:47+00:00,1572246345863290882,1582800024085274624
2,Sukanta37648482,"Indian by Nation 
Satsangee by heart",,48,0,346,1,"T20 WorldCup 2022 #Westindies Vs #Zimbabwe

#icc #t20worldcup #cricket #barakoutlet https://t.co/hunYgHM2tr","['Westindies', 'Zimbabwe', 'icc', 't20worldcup', 'cricket', 'barakoutlet']",2021-05-04 15:53:40+00:00,1389609107733110784,1582800009950822401
3,Sukanta37648482,"Indian by Nation 
Satsangee by heart",,48,0,346,1,"T20 WorldCup 2022 #Ireland Vs #Scotland

#icc #t20worldcup #cricket #barakoutlet https://t.co/E1cSv1Ixqs","['Ireland', 'Scotland', 'icc', 't20worldcup', 'cricket', 'barakoutlet']",2021-05-04 15:53:40+00:00,1389609107733110784,1582799984545927168
4,Sukanta37648482,"Indian by Nation 
Satsangee by heart",,48,0,346,1,"T20 WorldCup 2022 #Srilanka Vs #UAE

#icc #t20worldcup #cricket #barakoutlet https://t.co/XDO9deo0no","['Srilanka', 'UAE', 'icc', 't20worldcup', 'cricket', 'barakoutlet']",2021-05-04 15:53:40+00:00,1389609107733110784,1582799949531873280
5,Sukanta37648482,"Indian by Nation 
Satsangee by heart",,48,0,346,1,"T20 WorldCup 2022 #Netherlands  Vs #Namibia

#icc #t20worldcup #cricket #barakoutlet https://t.co/FfnRBCIJiC","['Netherlands', 'Namibia', 'icc', 't20worldcup', 'cricket', 'barakoutlet']",2021-05-04 15:53:40+00:00,1389609107733110784,1582799937200611328
6,Sukanta37648482,"Indian by Nation 
Satsangee by heart",,48,0,346,1,"T20 WorldCup 2022 #Zimbabwe  Vs #Ireland

#icc #t20worldcup #cricket #barakoutlet https://t.co/8HjH6vesqb","['Zimbabwe', 'Ireland', 'icc', 't20worldcup', 'cricket', 'barakoutlet']",2021-05-04 15:53:40+00:00,1389609107733110784,1582799916975685634
7,PaperiaAvtr76,,,2,0,2,0,"To celebrate the #WorldCup, @LiveArtX and @BNBChain jointly launched an artists' feast HackARThon: LiveArt Championship and is giving away 5,000 Championship Passes with a lot of perks.  #NFTgiveaway #giveaway  #ChampionshipOnBNBCHAIN https://t.co/ADDY96C0Fk","['WorldCup', 'NFTgiveaway', 'giveaway', 'ChampionshipOnBNBCHAIN']",2022-09-20 15:28:46+00:00,1572246332378849282,1582799914920075265
8,Sukanta37648482,"Indian by Nation 
Satsangee by heart",,48,0,346,1,"T20 WorldCup 2022 #Westindies  Vs #Scotland 

#icc #t20worldcup #cricket #barakoutlet https://t.co/CPMt1SRLS9","['Westindies', 'Scotland', 'icc', 't20worldcup', 'cricket', 'barakoutlet']",2021-05-04 15:53:40+00:00,1389609107733110784,1582799901213483009
9,NathanHasToPoo1,- Artist - Writer -,,335,292,691,6,"CQ9试玩 跳高高【https://t.co/DIrohUNNJr】
#BBIN #BBGAMES #沙巴体育 #亚博体育 #BET365   #NBA #世界杯  #CQ9电子 #CQ9 #JDB电子 #真人娱乐  #百家乐 #PG电子 #PGsoft #pgslot #Casino #casinoslot #老虎机 #esball #E世博
#LALIGA #PremierLeague #WorldcupQatar2022 #WorldCup #CQ9真人 #SLOT https://t.co/eeligdxnGz","['BBIN', 'BBGAMES', '沙巴体育', '亚博体育', 'BET365', 'NBA', '世界杯', 'CQ9电子', 'CQ9', 'JDB电子', '真人娱乐', '百家乐', 'PG电子']",2022-06-18 03:22:17+00:00,1537999050510807043,1582799883031162880
10,Hodgesvale,#Crypto - Fiat Free Future! My opinions! #Multivac ¦¦ #Verasity ¦¦ #Alephzero ¦¦ #Xolorocket ¦¦ #Woonetwork ¦¦ #Xolorocket ¦¦ #Moonbeam ¦¦ #Rabona ¦¦,UK,1655,1073,3303,21,"Friday @ 21/10 $RA @RabonaPro is finally going to launch on Pancakeswap!

We have seen how an insanely amount of profits $WCI delivered us, now the question.. how much gainz is $RA going to give us?!💹

I know that i am Bullish!🤞
#BSC #BNB #WORLDCUP https://t.co/RPzbejAa47",[],2020-09-12 17:58:46+00:00,1304841799882678284,1582799881005019136
11,Pyll02,,,53,7,303,0,"@CharlesMichel Give them the WorldCup even they're not qualified.. after Eurovision, nobel price, sakharov, what else ? Nespresso ? Best coffee will from ukraine soon ?",[],2021-11-09 10:05:31+00:00,1458012719509032966,1582799852375003136
12,Tee025s,Passionate Liverpool FC fan ♥️ #LFC #LFCfamily #YNWA | @LFC 1️⃣9️⃣ X🏆 & 6️⃣ X🏆 | Back Up - @tee_25s | 🕉 | #FPL fan 🔴,,6573,12441,38778,6,"🚨: Mo Salah 🇪🇬 is set work on beIN SPORTS’ punditry team over the World Cup 🏆, next month. #LFC #Salah #WorldCup #YNWA https://t.co/WrbvbvNtr6","['LFC', 'Salah', 'WorldCup', 'YNWA']",2021-03-14 22:12:18+00:00,1371222434561593344,1582799827561156609
13,1theophi,"stoic😊
@sarkodie 4L🤯🖤
@chelseafc🦁💙 forever & ever😍","Accra, Ghana|WEST AFRICA🌍 ",949,1842,56575,368,"Dreams do come true 🥲🇳🇬

See you at the #WorldCup @KizzDaniel 🏆⚽️ https://t.co/cCibWy8SjC",['WorldCup'],2017-08-10 20:44:07+00:00,895747609788387328,1582799712507559936
